Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded
NGroup1NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;536;2;MCS2_8;0;1;289.2;279.6;1023.6;0;79;0
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;1072;2;MCS2_8;0;1;133.2;131.2;506.4;0;77;0
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;536;2;MCS2_8;0;1;267.4;256;1020.6;0;235.8;0
NGroup8NRawSlotNum2TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;2;536;2;MCS2_8;0;1;179.8;163.8;922.8;0;446.2;0
NGroup4NRawSlotNum5TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;536;2;MCS2_8;0;1;4.2;2.4;741.2;0;242;0
NGroup8NRawSlotNum5TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;1072;2;MCS2_8;0;1;0.6;0.6;372.6;0;440.2;0
NGroup8NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;1;536;2;MCS2_8;0;1;263.2;251.4;1015;0;449;0
NGroup1NRawSlotNum2TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;536;2;MCS2_8;0;1;180.6;170.2;910.4;0;92.2;0
NGroup4NRawSlotNum2TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;1072;2;MCS2_8;0;1;95.2;93.8;467;0;241.4;0
NGroup2NRawSlotNum2TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;1072;2;MCS2_8;0;1;97.4;96;468.8;0;142.2;0
NGroup1NRawSlotNum1TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;1608;2;MCS2_8;0;1;100.4;99.4;409.6;0;77.6;0
NGroup2NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;1;1072;2;MCS2_8;0;1;125.6;124.8;498.8;0;126.8;0
NGroup4NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;1072;2;MCS2_8;0;1;133;131.2;507.6;0;226.4;0
NGroup1NRawSlotNum5TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;536;2;MCS2_8;0;1;3;1.8;739.8;0;93.2;0
NGroup1NRawSlotNum5TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;1072;2;MCS2_8;0;1;0.6;0.6;372.6;0;94;0
NGroup2NRawSlotNum2TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;536;2;MCS2_8;0;1;175.2;162.4;904.6;0;142.6;0
NGroup8NRawSlotNum5TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;536;2;MCS2_8;0;1;4.2;2.4;741.2;0;440;0
NGroup2NRawSlotNum5TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;5;1072;2;MCS2_8;0;1;0.6;0.6;372.6;0;143.2;0
NGroup4NRawSlotNum5TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;1072;2;MCS2_8;0;1;0.6;0.6;372.6;0;242.2;0
NGroup1NRawSlotNum2TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;1072;2;MCS2_8;0;1;97.4;96;468.8;0;93.2;0
NGroup4NRawSlotNum2TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;536;2;MCS2_8;0;1;173.2;156;915.2;0;243.8;0
NGroup2NRawSlotNum1TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;1;1608;2;MCS2_8;0;1;108.6;107.6;418.4;0;127;0
NGroup4NRawSlotNum1TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;1608;2;MCS2_8;0;1;104.8;103.6;415;0;226.8;0
NGroup8NRawSlotNum1TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;1;1608;2;MCS2_8;0;1;111.2;110.2;421.2;0;424.2;0
NGroup1NRawSlotNum2TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;1608;2;MCS2_8;0;1;77.4;76.4;386.4;0;94.4;0
NGroup2NRawSlotNum2TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;1608;2;MCS2_8;0;1;77.4;76.4;386.4;0;144.2;0
NGroup4NRawSlotNum2TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;1608;2;MCS2_8;0;1;77.4;76.4;386.4;0;243.2;0
NGroup8NRawSlotNum2TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;2;1608;2;MCS2_8;0;1;77.4;76.4;386.4;0;441.2;0
NGroup1NRawSlotNum5TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;1608;2;MCS2_8;0;1;0.6;0.6;310.6;0;94.4;0
NGroup4NRawSlotNum5TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;1608;2;MCS2_8;0;1;0.6;0.6;310.6;0;243;0
NGroup2NRawSlotNum5TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;5;1608;2;MCS2_8;0;1;0.6;0.6;310.6;0;144;0
NGroup8NRawSlotNum5TCPSegmentSize1608IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;1608;2;MCS2_8;0;1;0.6;0.6;310.6;0;441;0
NGroup1NRawSlotNum1TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;2144;2;MCS2_8;0;1;83.8;83.8;273.6;0;77.8;0
NGroup2NRawSlotNum1TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;1;2144;2;MCS2_8;0;1;84;83.8;274.6;0;126.2;0
NGroup4NRawSlotNum1TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;2144;2;MCS2_8;0;1;84;83.8;274.6;0;225.2;0
NGroup8NRawSlotNum1TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;1;2144;2;MCS2_8;0;1;84;83.8;274.6;0;423.2;0
NGroup1NRawSlotNum2TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;2144;2;MCS2_8;0;1;70.2;70.2;259.2;0;95;0
NGroup2NRawSlotNum2TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;2144;2;MCS2_8;0;1;70.2;70.2;259.2;0;144.8;0
NGroup4NRawSlotNum2TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;2144;2;MCS2_8;0;1;70.2;70.2;259.2;0;243.8;0
NGroup8NRawSlotNum2TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;2;2144;2;MCS2_8;0;1;70.2;70.2;259.2;0;441.8;0
NGroup1NRawSlotNum5TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;2144;2;MCS2_8;0;1;0.6;0.6;189.6;0;95;0
NGroup2NRawSlotNum5TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;5;2144;2;MCS2_8;0;1;0.6;0.6;189.6;0;144.4;0
NGroup4NRawSlotNum5TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;2144;2;MCS2_8;0;1;0.6;0.6;189.6;0;243.4;0
NGroup8NRawSlotNum5TCPSegmentSize2144IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;2144;2;MCS2_8;0;1;0.6;0.6;189.6;0;441.4;0
NGroup1NRawSlotNum1TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;2680;2;MCS2_8;0;1;104.2;104;354.8;0;88.2;0
NGroup2NRawSlotNum1TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;1;2680;2;MCS2_8;0;1;102.6;102.6;352.6;0;138;0
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;2680;2;MCS2_8;0;1;102.6;102.6;352.6;0;237;0
NGroup8NRawSlotNum1TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;1;2680;2;MCS2_8;0;1;102.6;102.6;352.6;0;435;0
NGroup1NRawSlotNum2TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;2680;2;MCS2_8;0;1;76.2;76.2;326.6;0;100;0
NGroup2NRawSlotNum2TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;2680;2;MCS2_8;0;1;76.2;76.2;326.6;0;149.4;0
NGroup4NRawSlotNum2TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;2680;2;MCS2_8;0;1;76.2;76.2;326.6;0;248.4;0
NGroup8NRawSlotNum2TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;2;2680;2;MCS2_8;0;1;76.2;76.2;326.6;0;446.2;0
NGroup1NRawSlotNum5TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;2680;2;MCS2_8;0;1;0.6;0.6;250.6;0;97;0
NGroup2NRawSlotNum5TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;5;2680;2;MCS2_8;0;1;0.6;0.6;250.6;0;146.2;0
NGroup4NRawSlotNum5TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;2680;2;MCS2_8;0;1;0.6;0.6;250.6;0;245.2;0
NGroup8NRawSlotNum5TCPSegmentSize2680IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;2680;2;MCS2_8;0;1;0.6;0.6;250.6;0;443.2;0
NGroup1NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;1;3216;2;MCS2_8;0;1;97.8;97.8;348.2;0;87.8;0
NGroup2NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;1;3216;2;MCS2_8;0;1;105;105;355.4;0;138.8;0
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;3216;2;MCS2_8;0;1;105;105;355.4;0;237.8;0
NGroup8NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;1;3216;2;MCS2_8;0;1;105;105;355.4;0;435.8;0
NGroup1NRawSlotNum2TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;2;3216;2;MCS2_8;0;1;76.4;76.2;326.4;0;100.8;0
NGroup2NRawSlotNum2TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;2;3216;2;MCS2_8;0;1;76.4;76.2;326.4;0;150.4;0
NGroup4NRawSlotNum2TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;2;3216;2;MCS2_8;0;1;76.4;76.2;326.4;0;249.2;0
NGroup8NRawSlotNum2TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;2;3216;2;MCS2_8;0;1;76.4;76.2;326.4;0;447.2;0
NGroup1NRawSlotNum5TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;1;5;3216;2;MCS2_8;0;1;0.6;0.6;250.6;0;97.2;0
NGroup2NRawSlotNum5TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;2;5;3216;2;MCS2_8;0;1;0.6;0.6;250.6;0;147;0
NGroup4NRawSlotNum5TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;5;3216;2;MCS2_8;0;1;0.6;0.6;250.6;0;246;0
NGroup8NRawSlotNum5TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;8;5;3216;2;MCS2_8;0;1;0.6;0.6;250.6;0;444;0
NGroup1NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;536;4;MCS2_8;0;1;611.4;592;2114.4;0;74.4;0
NGroup2NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;536;4;MCS2_8;0;1;521;502.6;2023;0;130.4;0
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;536;4;MCS2_8;0;1;527.6;512.6;2075.4;0;240;0
NGroup8NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;536;4;MCS2_8;0;1;528.6;511.6;2071.8;0;478.8;0
NGroup1NRawSlotNum2TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;536;4;MCS2_8;0;1;366.8;341.6;1853.6;0;90.2;0
NGroup2NRawSlotNum2TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;536;4;MCS2_8;0;1;376.2;344.6;1858.8;0;141.8;0
NGroup4NRawSlotNum2TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;536;4;MCS2_8;0;1;360.4;325.8;1874.6;0;252.8;0
NGroup8NRawSlotNum2TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;536;4;MCS2_8;0;1;367;331.6;1881.4;0;474.4;0
NGroup1NRawSlotNum5TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;536;4;MCS2_8;0;1;4.2;2.4;1508.4;0;91.2;0
NGroup2NRawSlotNum5TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;536;4;MCS2_8;0;1;4.2;2.4;1508.4;0;142.6;0
NGroup4NRawSlotNum5TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;536;4;MCS2_8;0;1;9.8;5.2;1513.4;0;250;0
NGroup8NRawSlotNum5TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;536;4;MCS2_8;0;1;9.8;5.2;1513.4;0;468;0
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;1072;4;MCS2_8;0;1;265.4;261;1021.6;0;75;0
NGroup2NRawSlotNum1TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;1072;4;MCS2_8;0;1;251;248.4;1008.6;0;126.2;0
NGroup4NRawSlotNum1TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;1072;4;MCS2_8;0;1;270.8;267;1029.4;0;233.8;0
NGroup8NRawSlotNum1TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;1072;4;MCS2_8;0;1;263.4;260.2;1022.8;0;451.8;0
NGroup1NRawSlotNum2TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;1072;4;MCS2_8;0;1;191.6;189.2;947;0;91.2;0
NGroup2NRawSlotNum2TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;1072;4;MCS2_8;0;1;191.6;189.2;947;0;142.2;0
NGroup4NRawSlotNum2TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;1072;4;MCS2_8;0;1;198.2;194.4;954.4;0;249.8;0
NGroup8NRawSlotNum2TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;1072;4;MCS2_8;0;1;198.2;194.4;954.4;0;467.8;0
NGroup1NRawSlotNum5TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;1072;4;MCS2_8;0;1;0.6;0.6;756.6;0;92;0
NGroup2NRawSlotNum5TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;1072;4;MCS2_8;0;1;0.6;0.6;756.6;0;143;0
NGroup4NRawSlotNum5TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;1072;4;MCS2_8;0;1;0.6;0.6;756.6;0;250.2;0
NGroup8NRawSlotNum5TCPSegmentSize1072IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;1072;4;MCS2_8;0;1;0.6;0.6;756.6;0;468.2;0
NGroup1NRawSlotNum1TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;1608;4;MCS2_8;0;1;205.6;203.4;835.4;0;75.6;0
NGroup2NRawSlotNum1TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;1608;4;MCS2_8;0;1;212.2;210.4;843.2;0;126.8;0
NGroup4NRawSlotNum1TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;1608;4;MCS2_8;0;1;213.6;211.2;842.8;0;234.4;0
NGroup8NRawSlotNum1TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;1608;4;MCS2_8;0;1;219.6;218.4;849.8;0;451.8;0
NGroup1NRawSlotNum2TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;1608;4;MCS2_8;0;1;158.6;157;787;0;92.6;0
NGroup2NRawSlotNum2TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;1608;4;MCS2_8;0;1;158.6;157;787;0;143.8;0
NGroup4NRawSlotNum2TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;1608;4;MCS2_8;0;1;158.6;157;787;0;251.2;0
NGroup8NRawSlotNum2TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;1608;4;MCS2_8;0;1;158.6;157;787;0;469.2;0
NGroup1NRawSlotNum5TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;1608;4;MCS2_8;0;1;0.6;0.6;630.6;0;92.2;0
NGroup2NRawSlotNum5TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;1608;4;MCS2_8;0;1;0.6;0.6;630.6;0;144;0
NGroup4NRawSlotNum5TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;1608;4;MCS2_8;0;1;0.6;0.6;630.6;0;251;0
NGroup8NRawSlotNum5TCPSegmentSize1608IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;1608;4;MCS2_8;0;1;0.6;0.6;630.6;0;469;0
NGroup1NRawSlotNum1TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;2144;4;MCS2_8;0;1;169.8;169.8;551.6;0;75.4;0
NGroup2NRawSlotNum1TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;2144;4;MCS2_8;0;1;174;173.8;557.6;0;126.4;0
NGroup4NRawSlotNum1TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;2144;4;MCS2_8;0;1;174;173.8;557.6;0;233.8;0
NGroup8NRawSlotNum1TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;2144;4;MCS2_8;0;1;174;173.8;557.6;0;451.8;0
NGroup1NRawSlotNum2TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;2144;4;MCS2_8;0;1;143.4;143.4;524.4;0;93.6;0
NGroup4NRawSlotNum2TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;2144;4;MCS2_8;0;1;143.4;143.4;524.4;0;252.4;0
NGroup2NRawSlotNum2TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;2144;4;MCS2_8;0;1;143.4;143.4;524.4;0;144.8;0
NGroup8NRawSlotNum2TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;2144;4;MCS2_8;0;1;143.4;143.4;524.4;0;471.2;0
NGroup1NRawSlotNum5TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;2144;4;MCS2_8;0;1;0.6;0.6;381.6;0;93;0
NGroup2NRawSlotNum5TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;2144;4;MCS2_8;0;1;0.6;0.6;381.6;0;144.2;0
NGroup4NRawSlotNum5TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;2144;4;MCS2_8;0;1;0.6;0.6;381.6;0;251.6;0
NGroup8NRawSlotNum5TCPSegmentSize2144IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;2144;4;MCS2_8;0;1;0.6;0.6;381.6;0;469.6;0
NGroup1NRawSlotNum1TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;2680;4;MCS2_8;0;1;204;203.8;711.4;0;85.6;0
NGroup2NRawSlotNum1TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;2680;4;MCS2_8;0;1;209.2;209;715.2;0;137.8;0
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;2680;4;MCS2_8;0;1;209.2;209;715.2;0;244.8;0
NGroup8NRawSlotNum1TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;2680;4;MCS2_8;0;1;209.2;209;715.2;0;462.8;0
NGroup1NRawSlotNum2TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;2680;4;MCS2_8;0;1;159;159;665.6;0;98.2;0
NGroup2NRawSlotNum2TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;2680;4;MCS2_8;0;1;159;159;665.6;0;149.2;0
NGroup4NRawSlotNum2TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;2680;4;MCS2_8;0;1;159;159;665.6;0;256.8;0
NGroup8NRawSlotNum2TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;2680;4;MCS2_8;0;1;159;159;665.6;0;474.8;0
NGroup1NRawSlotNum5TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;2680;4;MCS2_8;0;1;0.6;0.6;506.6;0;95;0
NGroup2NRawSlotNum5TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;2680;4;MCS2_8;0;1;0.6;0.6;506.6;0;146;0
NGroup4NRawSlotNum5TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;2680;4;MCS2_8;0;1;0.6;0.6;506.6;0;253.2;0
NGroup8NRawSlotNum5TCPSegmentSize2680IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;2680;4;MCS2_8;0;1;0.6;0.6;506.6;0;471.2;0
NGroup1NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;1;3216;4;MCS2_8;0;1;206;205.8;713.2;0;86.6;0
NGroup2NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;1;3216;4;MCS2_8;0;1;209.2;209;715.4;0;138.4;0
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;3216;4;MCS2_8;0;1;214.4;214.4;721.4;0;246;0
NGroup8NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;1;3216;4;MCS2_8;0;1;214.4;214.4;721.4;0;464;0
NGroup1NRawSlotNum2TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;2;3216;4;MCS2_8;0;1;159.6;159.4;665.6;0;98.8;0
NGroup2NRawSlotNum2TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;2;3216;4;MCS2_8;0;1;159.6;159.4;665.6;0;150;0
NGroup8NRawSlotNum2TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;2;3216;4;MCS2_8;0;1;159.6;159.4;665.6;0;475.2;0
NGroup1NRawSlotNum5TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;1;5;3216;4;MCS2_8;0;1;0.6;0.6;506.6;0;95.2;0
NGroup4NRawSlotNum2TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;2;3216;4;MCS2_8;0;1;159.6;159.4;665.6;0;257.2;0
NGroup2NRawSlotNum5TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;2;5;3216;4;MCS2_8;0;1;0.6;0.6;506.6;0;146.8;0
NGroup4NRawSlotNum5TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;5;3216;4;MCS2_8;0;1;0.6;0.6;506.6;0;254;0
NGroup8NRawSlotNum5TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;8;5;3216;4;MCS2_8;0;1;0.6;0.6;506.6;0;472;0
NGroup1NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;1;1;536;8;MCS2_8;0;1;1207.8;1171.4;4220;0;74.6;0
NGroup2NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;2;1;536;8;MCS2_8;0;1;1057.8;1024;4072.2;0;129.8;0
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;4;1;536;8;MCS2_8;0;1;1071.6;1034.8;4162;0;243.6;0
NGroup1NRawSlotNum2TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;1;2;536;8;MCS2_8;0;1;717.6;665.4;3698.2;1.6;90.4;0
NGroup8NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;8;1;536;8;MCS2_8;0;1;1060.4;1020;4158;0;478;0
NGroup2NRawSlotNum2TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;2;2;536;8;MCS2_8;0;1;716.2;658.2;3695.4;0;141.2;0
NGroup4NRawSlotNum2TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;4;2;536;8;MCS2_8;0;1;723.8;649.6;3750.2;0;247.4;0
NGroup8NRawSlotNum2TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;8;2;536;8;MCS2_8;0;1;732;663.6;3762.4;0;467.8;0
NGroup1NRawSlotNum5TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;1;5;536;8;MCS2_8;0;1;7.8;4.2;3022.2;0;91;0
NGroup2NRawSlotNum5TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;2;5;536;8;MCS2_8;0;1;7.8;4.2;3022.2;0;141;0
NGroup4NRawSlotNum5TCPSegmentSize536IpCameraDataRate8Nsta5DataModeMCS2_8;5;4;5;536;8;MCS2_8;0;1;16.6;8.6;3030.8;0;245.2;0
